Sex	Height	HeightF	HeightM	ChildFF	ChildF	ChildMM	ChildM
male	192	200	180	2	3	2	2
female	168	180	160	1	2	2	2
female	164	175	170	3	1	3	1
female	170	185	170	3	3	2	3
male	189	184	179	2	2	3	2
male	183	185	178	2	2	3	2
female	177	180	170	2	2	2	2
female	174	180	164	1	3	3	3
female	168	186	155	2	2	3	2
female	174	194	167	4	2	3	2
female	176	183	168	2	3	2	2
female	174	196	180	2	2	2	3
male	190	173	170	3	2	3	2
female	175	193	179	3	2	3	2
female	170	174	164	2	5	3	2
male	190	204	170	2	2	2	2
female	165	190	163	3	2	2	3
male	189	186	170	2	3	2	3
female	178	186	168	4	3	2	3
female	184	189	182	2	2	1	2
female	165	184	168	3	3	4	3
male	189	191	169	2	2	3	2
male	175	180	160	4	2	2	1
male	176	173	169	4	3	4	2
female	174	197	164	4	3	3	3
female	168	189	172	4	3	2	3
male	188	186	177	3	2	3	2
female	160	170	157	8	2	4	2
female	178	188	176	2	1	6	4
female	167	177	174	3	6	3	6
female	159	174	175	3	1	3	1
female	172	192	168	2	4	3	1
male	184	182	174	2	3	3	3
female	174	184	178	4	2	2	2
female	169	172	168	4	2	4	2
female	161	183	166	3	3	3	3
male	179	171	160	2	3	7	2
male	183	180	168	2	2	2	2
female	174	185	165	5	2	4	2
male	190	175	167	2	4	2	4
female	162	180	157	2	2	3	3
female	173	181	165	7	4	6	2
